,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
48,6,1140000,225,0.0,-26.59879,-59.8343,-10.93904,-19.50258,-8.57092,-5.58506,-2.86479,-2.91761,-1.85501,-1.23907,-0.9932,-1.13144,-0.48916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,6,1140000,309,0.0,-818.17268,-3941.12014,43.06068,-370.88632,-990.69131,-462.19747,-429.94713,-361.06985,-257.95685,-258.44028,-282.24592,-298.64348,-326.14455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,6,1140000,145,0.0,-258.65799,-682.34914,-460.4265,-177.18314,-127.28286,-127.62507,-120.07442,-67.64832,-46.2827,-55.70018,-41.265,-23.43207,-12.85108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,6,1140000,310,0.0,-105.12915,-166.07962,25.48339,-10.57841,-22.34093,-13.50082,-12.90014,-0.63844,4.83133,2.36132,-1.09839,-1.19092,-1.02557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,6,1140000,315,0.0,-462.89437,-1424.54574,-438.14332,-271.62665,-242.04207,-220.31521,-164.2833,-142.87675,-154.9964,-146.64531,-116.75597,-92.54336,-30.04552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,6,1140000,311,0.0,-530.83807,-2160.75539,-307.06477,-273.93154,-216.43398,-172.65921,-134.53619,-83.24333,-90.89368,-94.30726,-74.82268,-71.316,-28.86272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,6,1140000,312,0.0,-501.65706,-1246.17049,-558.32339,-303.96245,-229.28223,-193.65978,-162.66159,-134.3777,-150.64516,-148.39961,-121.51316,-51.78091,-11.67233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,6,1140000,192,0.0,-313.72712,-1544.48097,-156.78631,-124.63773,-83.32923,-56.23557,-46.84075,-36.72163,-13.82128,-24.04154,-22.69968,-23.63247,-16.99182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,6,1140000,117,0.0,-786.57197,-2388.30108,-1226.17741,-1147.34442,-946.40046,-870.18187,-825.99662,-678.78004,-555.009,-510.52093,-426.33673,-347.21703,-173.75382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,6,1140000,118,0.0,-689.74053,-974.12657,-661.11889,-594.88786,-495.31609,-460.85838,-436.52335,-295.36659,-207.39133,-195.92809,-170.36297,-111.32555,-67.36107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,6,1140000,139,0.0,-129.0198,-739.38212,-56.53422,-37.88022,-23.41733,-16.34769,-17.11935,-12.64764,-6.0474,-3.11647,-4.8019,-13.83447,-8.36466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,6,1140000,119,0.0,-673.27063,-689.19904,-485.11488,-417.5377,-314.01892,-296.59669,-296.59669,-225.07536,-234.06393,-201.17236,-207.44143,-171.39397,-105.66462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
